question,answer
"How do I reset my password?","Go to Settings > Account > Reset Password and follow the steps. You will receive a confirmation link by email."
"How do I change my email address?","Navigate to Settings > Profile, update your email, and confirm via the verification link sent to your new address."
"Can I upgrade my subscription plan?","Yes. Go to Billing > Plans and select the new plan. The change takes effect immediately and your bill is prorated."
"How do I cancel my subscription?","Open Billing > Subscriptions and click 'Cancel'. You will retain access until the end of your billing cycle."
"What payment methods do you accept?","We accept credit cards, PayPal, and wire transfers for annual enterprise plans."
"Where can I download my invoices?","Invoices are available under Billing > Invoices. You can download them in PDF format."
"What is your refund policy?","Refunds are available within 30 days of purchase for annual subscriptions. Contact support@example.com for assistance."
"Is my data secure?","Yes. We use encryption in transit (TLS 1.2+) and at rest (AES-256). Access is restricted and audited regularly."
"Do you offer customer support?","Yes. Standard plans include email support. Pro and Enterprise plans also include live chat and phone support."
"How do I contact support?","You can contact us via support@example.com or through the Helpdesk in your dashboard."
"Does the product have mobile apps?","Yes. We offer both iOS and Android apps, available on the App Store and Google Play."
"Can I integrate with Slack or Teams?","Yes. Go to Settings > Integrations and connect Slack or Microsoft Teams."
"How do I set up two-factor authentication (2FA)?","Go to Settings > Security and enable 2FA. You can use authenticator apps like Google Authenticator or Authy."
"Do you provide training materials?","Yes. We provide onboarding guides, a knowledge base, and video tutorials accessible from the Help Center."
"Is there an API available?","Yes. API documentation is available at https://api.example.com/docs. API keys can be generated under Developer Settings."
"Can I export my data?","Yes. Use the Export tool under Settings > Data Export. Exports are available in CSV and JSON formats."
"How many users are included in my plan?","Starter includes 5 users, Pro includes 25 users, and Enterprise is unlimited."
"Do you offer discounts for non-profits or education?","Yes. Please contact sales@example.com with proof of eligibility."
"Why am I being charged tax?","Taxes are applied according to your billing country and local regulations."
"Can I schedule a product demo?","Yes. Visit our website at example.com/demo to schedule a live demo with our team."
